"synsetid","wordid","sentenceid"
"200812580","34833","14"
"200812580","34833","129"
"200813044","29090","138"
"200813044","34131","138"
"200813495","146035","129"
"200813790","22968","14"
"200813790","85768","14"
"200813978","37239","15"
"200813978","37239","129"
"200815379","30677","112"
"200815686","6103","112"
"200815686","110325","112"
"200815686","110752","112"
"200816353","109915","112"
"200816353","110946","112"
"200816556","35253","112"
"200817003","35253","112"
"200819756","104861","137"
"200820976","9577","112"
"200820976","22776","112"
"200820976","35060","112"
"200824767","12263","15"
"200824767","13283","15"
"200824767","23871","15"
"200824767","23874","15"
"200824767","39114","15"
"200824767","75106","15"
"200824767","75107","15"
"200824767","107866","15"
"200824767","108862","15"
"200824767","110401","15"
"200824767","115919","15"
"200828003","103694","14"
"200828003","105172","14"
"200828227","44303","14"
"200828374","86533","14"
"200828374","86540","14"
"200828374","103698","14"
"200828374","117925","14"
"200829107","130676","95"
"200829107","130676","96"
"200830761","76347","14"
"200830761","129942","14"
"200834745","98597","98"
"200837872","15454","15"
"200842989","68429","140"
"200843468","1159","140"
"200843468","23278","140"
"200846344","96082","139"
"200846344","130711","139"
"200846344","134854","139"
"200847478","37212","159"
"200848420","2506","159"
"200848420","69736","15"
"200848420","69736","159"
"200855512","31635","139"
"200855512","111102","139"
"200856824","103627","139"
"200857784","135814","157"
"200857784","135814","158"
"200857923","45218","160"
"200857923","72685","14"
"200857923","72685","160"
"200857923","109910","160"
"200858781","44722","123"
"200858781","69618","123"
"200858781","139775","123"
"200859325","23590","127"
"200859325","72513","127"
"200859325","72516","127"
"200859758","5070","15"
"200860620","45115","139"
"200860620","58213","139"
"200860620","75812","139"
"200861423","66444","14"
"200861725","1043","139"
"200861725","61250","139"
"200864910","5326","139"
"200864910","5328","139"
"200864910","44633","139"
"200866314","32567","140"
"200868097","33579","123"
"200868097","34714","123"
"200868591","23019","123"
"200869393","19515","15"
"200870577","2054","15"
"200870577","37196","15"
"200870577","37196","125"
"200870577","142837","15"
"200871405","132497","15"
"200872886","2249","15"
"200872886","2249","123"
"200872886","30649","15"
"200872886","30649","123"
"200873469","133270","15"
"200875394","2249","123"
"200875394","105213","123"
"200875394","105213","137"
"200875394","127745","123"
"200875394","127745","137"
"200876104","85353","15"
"200876104","85441","15"
"200876442","29231","14"
"200876442","29231","15"
"200876665","28701","15"
"200876665","28701","129"
"200876665","29231","15"
"200876665","29231","129"
"200876994","27236","14"
"200876994","27236","129"
"200877327","110572","139"
"200877559","29231","14"
"200877559","29231","15"
"200878136","127331","112"
"200880227","49294","15"
"200880518","2149","15"
"200880658","126787","15"
"200880978","47395","14"
"200881534","17786","15"
"200881534","18787","15"
"200882220","60808","160"
"200882220","108504","160"
"200882395","27673","139"
"200882948","27673","138"
"200882948","109013","139"
"200883635","31888","160"
"200883635","58149","14"
"200883635","58149","160"
"200883635","135555","14"
"200884011","105051","123"
"200884317","105051","91"
"200884317","105051","92"
"200884540","101519","137"
"200886759","142346","137"
"200888786","29416","137"
"200888786","137718","137"
"200889555","60481","91"
"200889555","60481","92"
"200889740","137736","139"
"200889947","128770","137"
"200893878","44628","15"
"200893878","44673","15"
"200893878","76977","15"
"200893878","110004","15"
"200897746","8655","93"
"200904046","1463","140"
"200904046","25825","140"
"200904046","37105","140"
"200904046","44616","140"
"200904046","44777","140"
"200906735","28580","140"
"200906735","117689","140"
"200907147","28192","112"
"200908099","37196","125"
"200910000","29658","14"
"200911350","35376","112"
"200911350","75138","112"
"200912048","19540","112"
"200912048","32028","112"
"200912048","44580","112"
"200912048","119273","112"
"200912473","119273","14"
"200912833","146547","14"
"200913065","116158","14"
"200914420","119356","157"
"200914420","119356","158"
"200914420","119361","157"
"200914420","119361","158"
"200915423","64607","14"
"200915423","64607","112"
"200915605","112102","14"
"200915605","112102","112"
"200915830","144139","14"
"200916123","123389","14"
"200916274","121718","112"
"200916274","121748","14"
"200916274","121748","112"
"200916679","42715","14"
"200916679","42715","160"
"200916783","111240","14"
"200916783","111240","160"
"200917300","128333","112"
"200920336","8514","113"
"200920336","23533","113"
"200920336","35835","113"
"200920336","48504","113"
"200920336","76239","113"
"200920336","116926","113"
"200920336","142978","113"
"200924873","128573","123"
"200925110","107343","113"
"200925110","145514","113"
"200925490","82248","160"
"200925490","145514","160"
"200925735","82248","160"
"200927430","64196","112"
"200927430","127745","112"
"200927711","69573","112"
"200927711","70241","112"
"200928630","29614","94"
"200933239","123386","14"
"200933821","37124","112"
"200933821","37955","112"
"200933821","57898","112"
"200933821","76978","112"
"200933821","111030","112"
"200936465","28725","112"
"200936648","110004","98"
"200936648","137258","98"
"200938748","34399","139"
"200939277","44902","139"
"200939277","44911","139"
"200944788","39284","14"
"200944788","39285","14"
"200948071","30658","69"
"200948602","85404","69"
"200950431","29090","102"
"200950431","30658","102"
"200950431","143572","102"
"200953216","88591","111"
"200953216","108965","95"
"200953216","109076","111"
"200953216","131023","111"
"200955601","41159","112"
"200955601","42558","112"
"200955601","44830","112"
"200956405","15250","111"
