"21","0.5","","S","","<NP value=\"Agent\"><SYNRESTRS/></NP><VERB/><NP value=\"Topic\"><SYNRESTRS><SYNRESTR Value=\"+\" type=\"that_comp\"/></SYNRESTRS></NP>","<PRED value=\"transfer_info\"><ARGS><ARG type=\"Event\" value=\"during(E)\"/><ARG type=\"ThemRole\" value=\"Agent\"/><ARG type=\"ThemRole\" value=\"?Recipient\"/><ARG type=\"ThemRole\" value=\"Topic\"/></ARGS></PRED><PRED value=\"cause\"><ARGS><ARG type=\"ThemRole\" value=\"Agent\"/><ARG type=\"Event\" value=\"E\"/></ARGS></PRED>"
"22","0.5","","HOW-TO-INF","","<NP value=\"Agent\"><SYNRESTRS/></NP><VERB/><NP value=\"Topic\"><SYNRESTRS><SYNRESTR Value=\"+\" type=\"wh_inf\"/></SYNRESTRS></NP>","<PRED value=\"transfer_info\"><ARGS><ARG type=\"Event\" value=\"during(E)\"/><ARG type=\"ThemRole\" value=\"Agent\"/><ARG type=\"ThemRole\" value=\"?Recipient\"/><ARG type=\"ThemRole\" value=\"Topic\"/></ARGS></PRED><PRED value=\"cause\"><ARGS><ARG type=\"ThemRole\" value=\"Agent\"/><ARG type=\"Event\" value=\"E\"/></ARGS></PRED>"
"23","0.3","","QUOT","","<NP value=\"Agent\"><SYNRESTRS/></NP><VERB/><NP value=\"Topic\"><SYNRESTRS><SYNRESTR Value=\"+\" type=\"quotation\"/></SYNRESTRS></NP>","<PRED value=\"transfer_info\"><ARGS><ARG type=\"Event\" value=\"during(E)\"/><ARG type=\"ThemRole\" value=\"Agent\"/><ARG type=\"ThemRole\" value=\"?Recipient\"/><ARG type=\"ThemRole\" value=\"Topic\"/></ARGS></PRED><PRED value=\"cause\"><ARGS><ARG type=\"ThemRole\" value=\"Agent\"/><ARG type=\"Event\" value=\"E\"/></ARGS></PRED>"
"24","8.1","0.2","Basic Transitive","","<NP value=\"Agent\"><SYNRESTRS/></NP><VERB/><NP value=\"Theme\"><SYNRESTRS/></NP>","<PRED value=\"allow\"><ARGS><ARG type=\"Event\" value=\"during(E)\"/><ARG type=\"ThemRole\" value=\"Agent\"/><ARG type=\"ThemRole\" value=\"Theme\"/></ARGS></PRED>"
"25","8.1","0.2","ING-AC","","<NP value=\"Agent\"><SYNRESTRS/></NP><VERB/><NP value=\"Theme\"><SYNRESTRS><SYNRESTR Value=\"+\" type=\"ac_ing\"/></SYNRESTRS></NP>","<PRED value=\"allow\"><ARGS><ARG type=\"Event\" value=\"during(E)\"/><ARG type=\"ThemRole\" value=\"Agent\"/><ARG type=\"ThemRole\" value=\"Theme\"/></ARGS></PRED>"
"26","8.1","0.2","NP-TOBE","","<NP value=\"Agent\"><SYNRESTRS/></NP><VERB/><NP value=\"Theme\"><SYNRESTRS><SYNRESTR Value=\"+\" type=\"np_tobe\"/></SYNRESTRS></NP>","<PRED value=\"allow\"><ARGS><ARG type=\"Event\" value=\"during(E)\"/><ARG type=\"ThemRole\" value=\"Agent\"/><ARG type=\"ThemRole\" value=\"Theme\"/></ARGS></PRED>"
"27","8.1","0.2","POSSING","","<NP value=\"Agent\"><SYNRESTRS/></NP><VERB/><NP value=\"Theme\"><SYNRESTRS><SYNRESTR Value=\"+\" type=\"poss_ing\"/></SYNRESTRS></NP>","<PRED value=\"allow\"><ARGS><ARG type=\"Event\" value=\"during(E)\"/><ARG type=\"ThemRole\" value=\"Agent\"/><ARG type=\"ThemRole\" value=\"Theme\"/></ARGS></PRED>"
"28","8.1","0.2","S","","<NP value=\"Agent\"><SYNRESTRS/></NP><VERB/><NP value=\"Theme\"><SYNRESTRS><SYNRESTR Value=\"+\" type=\"that_comp\"/></SYNRESTRS></NP>","<PRED value=\"allow\"><ARGS><ARG type=\"Event\" value=\"during(E)\"/><ARG type=\"ThemRole\" value=\"Agent\"/><ARG type=\"ThemRole\" value=\"Theme\"/></ARGS></PRED>"
"29","1.1.1","","Middle Construction","","<NP value=\"Patient1\"><SYNRESTRS/></NP><VERB/><ADV/><PREP value=\"with\"><SELRESTRS/></PREP><NP value=\"Patient2\"><SYNRESTRS/></NP>","<PRED value=\"property\"><ARGS><ARG type=\"ThemRole\" value=\"Patient1+Patient2\"/><ARG type=\"VerbSpecific\" value=\"Prop\"/></ARGS></PRED><PRED value=\"Adv\"><ARGS><ARG type=\"VerbSpecific\" value=\"Prop\"/></ARGS></PRED>"
"30","1.1.1","","Middle Construction","","<NP value=\"Patient\"><SYNRESTRS><SYNRESTR Value=\"+\" type=\"plural\"/></SYNRESTRS></NP><VERB/><ADV/>","<PRED value=\"property\"><ARGS><ARG type=\"ThemRole\" value=\"Patient_i+Patient_j\"/><ARG type=\"VerbSpecific\" value=\"Prop\"/></ARGS></PRED><PRED value=\"Adv\"><ARGS><ARG type=\"VerbSpecific\" value=\"Prop\"/></ARGS></PRED>"
"31","2.5.1","","NP-PP","into/to/with-PP","<NP value=\"Agent\"><SYNRESTRS/></NP><VERB/><NP value=\"Patient1\"><SYNRESTRS/></NP><PREP value=\"into to with\"><SELRESTRS/></PREP><NP value=\"Patient2\"><SYNRESTRS/></NP>","<PRED value=\"cause\"><ARGS><ARG type=\"ThemRole\" value=\"Agent\"/><ARG type=\"Event\" value=\"E\"/></ARGS></PRED><PRED value=\"degradation_material_integrity\"><ARGS><ARG type=\"Event\" value=\"result(E)\"/><ARG type=\"ThemRole\" value=\"Patient1\"/></ARGS></PRED><PRED value=\"degradation_material_integrity\"><ARGS><ARG type=\"Event\" value=\"result(E)\"/><ARG type=\"ThemRole\" value=\"Patient2\"/></ARGS></PRED><PRED value=\"mingled\"><ARGS><ARG type=\"Event\" value=\"result(E)\"/><ARG type=\"Constant\" value=\"physical\"/><ARG type=\"ThemRole\" value=\"Patient1\"/><ARG type=\"ThemRole\" value=\"Patient2\"/></ARGS></PRED>"
"32","2.5.1","","Simple Reciprocal Transitive","","<NP value=\"Agent\"><SYNRESTRS/></NP><VERB/><NP value=\"Patient\"><SYNRESTRS><SYNRESTR Value=\"+\" type=\"plural\"/></SYNRESTRS></NP>","<PRED value=\"cause\"><ARGS><ARG type=\"ThemRole\" value=\"Agent\"/><ARG type=\"Event\" value=\"E\"/></ARGS></PRED><PRED value=\"degradation_material_integrity\"><ARGS><ARG type=\"Event\" value=\"result(E)\"/><ARG type=\"ThemRole\" value=\"Patient_i\"/></ARGS></PRED><PRED value=\"degradation_material_integrity\"><ARGS><ARG type=\"Event\" value=\"result(E)\"/><ARG type=\"ThemRole\" value=\"Patient_j\"/></ARGS></PRED><PRED value=\"mingled\"><ARGS><ARG type=\"Event\" value=\"result(E)\"/><ARG type=\"Constant\" value=\"physical\"/><ARG type=\"ThemRole\" value=\"Patient_i\"/><ARG type=\"ThemRole\" value=\"Patient_j\"/></ARGS></PRED>"
"33","2.5.4","","PP","with-PP","<NP value=\"Patient1\"><SYNRESTRS/></NP><VERB/><PREP value=\"with\"><SELRESTRS/></PREP><NP value=\"Patient2\"><SYNRESTRS/></NP>","<PRED value=\"degradation_material_integrity\"><ARGS><ARG type=\"Event\" value=\"result(E)\"/><ARG type=\"ThemRole\" value=\"Patient1\"/></ARGS></PRED><PRED value=\"degradation_material_integrity\"><ARGS><ARG type=\"Event\" value=\"result(E)\"/><ARG type=\"ThemRole\" value=\"Patient2\"/></ARGS></PRED><PRED value=\"mingled\"><ARGS><ARG type=\"Event\" value=\"result(E)\"/><ARG type=\"Constant\" value=\"physical\"/><ARG type=\"ThemRole\" value=\"Patient1\"/><ARG type=\"ThemRole\" value=\"Patient2\"/></ARGS></PRED>"
"34","2.5.4","","Simple Reciprocal Intransitive","","<NP value=\"Patient\"><SYNRESTRS><SYNRESTR Value=\"+\" type=\"plural\"/></SYNRESTRS></NP><VERB/>","<PRED value=\"degradation_material_integrity\"><ARGS><ARG type=\"Event\" value=\"result(E)\"/><ARG type=\"ThemRole\" value=\"Patient_i\"/></ARGS></PRED><PRED value=\"degradation_material_integrity\"><ARGS><ARG type=\"Event\" value=\"result(E)\"/><ARG type=\"ThemRole\" value=\"Patient_j\"/></ARGS></PRED><PRED value=\"mingled\"><ARGS><ARG type=\"Event\" value=\"result(E)\"/><ARG type=\"Constant\" value=\"physical\"/><ARG type=\"ThemRole\" value=\"Patient_i\"/><ARG type=\"ThemRole\" value=\"Patient_j\"/></ARGS></PRED>"
"35","2.5.1","","NP-PP","to-PP","<NP value=\"Agent\"><SYNRESTRS/></NP><VERB/><NP value=\"Patient1\"><SYNRESTRS/></NP><PREP value=\"with\"><SELRESTRS/></PREP><NP value=\"Patient2\"><SYNRESTRS/></NP>","<PRED value=\"cause\"><ARGS><ARG type=\"ThemRole\" value=\"Agent\"/><ARG type=\"Event\" value=\"E\"/></ARGS></PRED><PRED value=\"together\"><ARGS><ARG type=\"Event\" value=\"end(E)\"/><ARG type=\"Constant\" value=\"physical\"/><ARG type=\"ThemRole\" value=\"Patient1\"/><ARG type=\"ThemRole\" value=\"Patient2\"/></ARGS></PRED>"
"36","2.5.1","","Simple Reciprocal Transitive","","<NP value=\"Agent\"><SYNRESTRS/></NP><VERB/><NP value=\"Patient\"><SYNRESTRS><SYNRESTR Value=\"+\" type=\"plural\"/></SYNRESTRS></NP>","<PRED value=\"cause\"><ARGS><ARG type=\"ThemRole\" value=\"Agent\"/><ARG type=\"Event\" value=\"E\"/></ARGS></PRED><PRED value=\"together\"><ARGS><ARG type=\"Event\" value=\"end(E)\"/><ARG type=\"Constant\" value=\"physical\"/><ARG type=\"ThemRole\" value=\"Patient_i\"/><ARG type=\"ThemRole\" value=\"Patient_j\"/></ARGS></PRED>"
"37","2.5.4","","Simple Reciprocal Intransitive","","<NP value=\"Patient1\"><SYNRESTRS/></NP><VERB/><PREP value=\"with\"><SELRESTRS/></PREP><NP value=\"Patient2\"><SYNRESTRS/></NP>","<PRED value=\"together\"><ARGS><ARG type=\"Event\" value=\"end(E)\"/><ARG type=\"Constant\" value=\"physical\"/><ARG type=\"ThemRole\" value=\"Patient1\"/><ARG type=\"ThemRole\" value=\"Patient2\"/></ARGS></PRED>"
"38","2.5.4","","Simple Reciprocal Intransitive","","<NP value=\"Patient\"><SYNRESTRS><SYNRESTR Value=\"+\" type=\"plural\"/></SYNRESTRS></NP><VERB/>","<PRED value=\"together\"><ARGS><ARG type=\"Event\" value=\"end(E)\"/><ARG type=\"Constant\" value=\"physical\"/><ARG type=\"ThemRole\" value=\"Patient_i\"/><ARG type=\"ThemRole\" value=\"Patient_j\"/></ARGS></PRED>"
"39","2.5.1","","Simple Reciprocal Transitive","","<NP value=\"Agent\"><SYNRESTRS/></NP><VERB/><NP value=\"Patient\"><SYNRESTRS><SYNRESTR Value=\"+\" type=\"plural\"/></SYNRESTRS></NP>","<PRED value=\"cause\"><ARGS><ARG type=\"ThemRole\" value=\"Agent\"/><ARG type=\"Event\" value=\"E\"/></ARGS></PRED><PRED value=\"together\"><ARGS><ARG type=\"Event\" value=\"end(E)\"/><ARG type=\"Constant\" value=\"abstract/physical\"/><ARG type=\"ThemRole\" value=\"Patient_i\"/><ARG type=\"ThemRole\" value=\"Patient_j\"/></ARGS></PRED>"
"40","2.5.1","","NP-PP","to-PP","<NP value=\"Agent\"><SYNRESTRS/></NP><VERB/><NP value=\"Patient1\"><SYNRESTRS/></NP><PREP value=\"to\"><SELRESTRS/></PREP><NP value=\"Patient2\"><SYNRESTRS/></NP>","<PRED value=\"cause\"><ARGS><ARG type=\"ThemRole\" value=\"Agent\"/><ARG type=\"Event\" value=\"E\"/></ARGS></PRED><PRED value=\"together\"><ARGS><ARG type=\"Event\" value=\"end(E)\"/><ARG type=\"Constant\" value=\"abstract/physical\"/><ARG type=\"ThemRole\" value=\"Patient1\"/><ARG type=\"ThemRole\" value=\"Patient2\"/></ARGS></PRED>"
"41","2.5.4","","Simple Reciprocal Intransitive","","<NP value=\"Patient\"><SYNRESTRS><SYNRESTR Value=\"+\" type=\"plural\"/></SYNRESTRS></NP><VERB/>","<PRED value=\"together\"><ARGS><ARG type=\"Event\" value=\"end(E)\"/><ARG type=\"Constant\" value=\"abstract/physical\"/><ARG type=\"ThemRole\" value=\"Patient_i\"/><ARG type=\"ThemRole\" value=\"Patient_j\"/></ARGS></PRED>"
"42","0.2","","Basic Transitive","","<NP value=\"Cause\"><SYNRESTRS/></NP><VERB/><NP value=\"Experiencer\"><SYNRESTRS/></NP>","<PRED value=\"cause\"><ARGS><ARG type=\"ThemRole\" value=\"Cause\"/><ARG type=\"Event\" value=\"E\"/></ARGS></PRED><PRED value=\"emotional_state\"><ARGS><ARG type=\"Event\" value=\"result(E)\"/><ARG type=\"VerbSpecific\" value=\"Emotion\"/><ARG type=\"ThemRole\" value=\"Experiencer\"/></ARGS></PRED>"
"43","1.1.1","","Middle Construction","","<NP value=\"Experiencer\"><SYNRESTRS/></NP><VERB/><ADV/>","<PRED value=\"property\"><ARGS><ARG type=\"ThemRole\" value=\"Experiencer\"/><ARG type=\"VerbSpecific\" value=\"Prop\"/></ARGS></PRED><PRED value=\"Adv\"><ARGS><ARG type=\"VerbSpecific\" value=\"Prop\"/></ARGS></PRED>"
"44","1.2.5","","PRO-Arb Object Alternation","","<NP value=\"Cause\"><SYNRESTRS/></NP><VERB/>","<PRED value=\"cause\"><ARGS><ARG type=\"ThemRole\" value=\"Cause\"/><ARG type=\"Event\" value=\"E\"/></ARGS></PRED><PRED value=\"emotional_state\"><ARGS><ARG type=\"Event\" value=\"result(E)\"/><ARG type=\"VerbSpecific\" value=\"Emotion\"/><ARG type=\"ThemRole\" value=\"?Experiencer\"/></ARGS></PRED>"
"45","0.2","","NP-PP","with-PP","<NP value=\"Cause\"><SYNRESTRS/></NP><VERB/><NP value=\"Experiencer\"><SYNRESTRS/></NP><PREP value=\"with\"><SELRESTRS/></PREP><NP value=\"Oblique\"><SELRESTRS/></NP>","<PRED value=\"cause\"><ARGS><ARG type=\"ThemRole\" value=\"Cause\"/><ARG type=\"Event\" value=\"E\"/></ARGS></PRED><PRED value=\"emotional_state\"><ARGS><ARG type=\"Event\" value=\"result(E)\"/><ARG type=\"VerbSpecific\" value=\"Emotion\"/><ARG type=\"ThemRole\" value=\"Experiencer\"/></ARGS></PRED>"
"46","2.13.4","","NP","Attribute Subject","<NP value=\"Cause\"><SYNRESTRS><SYNRESTR Value=\"+\" type=\"genitive\"/></SYNRESTRS></NP><LEX value=\"'s\"/><NP value=\"Oblique\"><SELRESTRS/></NP><VERB/><NP value=\"Experiencer\"><SYNRESTRS/></NP>","<PRED value=\"cause\"><ARGS><ARG type=\"ThemRole\" value=\"Cause\"/><ARG type=\"Event\" value=\"E\"/></ARGS></PRED><PRED value=\"emotional_state\"><ARGS><ARG type=\"Event\" value=\"during(E)\"/><ARG type=\"VerbSpecific\" value=\"Emotion\"/><ARG type=\"ThemRole\" value=\"Experiencer\"/></ARGS></PRED>"
