"mapid","synsetid","synsetid2","score"
"57642","101761905","101700585","100"
"57643","101761635","101700315","100"
"57644","104433944","104314097","100"
"57645","110569953","110030530","100"
"57646","104434126","104314261","100"
"57647","109326527","108866504","100"
"57648","104434274","104314409","100"
"57649","100327941","100316097","100"
"57650","104434444","104314579","100"
"57651","113659864","113059323","100"
"57652","101444637","101385582","100"
"57653","114064241","113445004","100"
"57654","100850389","100811017","100"
"57655","101404941","101346199","100"
"57656","104434752","104314887","100"
"57657","110570357","110030916","100"
"57658","108554170","108144600","100"
"57659","108554556","108144930","100"
"57660","108554676","108145049","100"
"57661","105986612","105705477","100"
"57662","112613578","112032509","100"
"57663","101968259","101905627","100"
"57664","100849512","100810176","100"
"57665","108349288","107951567","100"
"57666","109326774","108866750","100"
"57667","109326922","108866898","100"
"57668","106134338","105838264","100"
"57669","110570550","110031109","100"
"57670","102366161","102301234","100"
"57671","104434845","104314980","100"
"57672","110571097","110031620","100"
"57673","104655990","104512850","100"
"57674","108074155","107690223","100"
"57675","104435292","104315402","100"
"57676","103841691","103738554","100"
"57677","104436263","104316375","100"
"57678","113199080","112613596","100"
"57679","104436385","104316497","100"
"57680","113536452","112944022","100"
"57681","113536256","112943826","100"
"57682","104437058","104317170","100"
"57683","107954258","107574062","100"
"57684","110534836","109998031","100"
"57685","104437182","104317294","100"
"57686","101089828","101041192","100"
"57687","104437298","104317410","100"
"57688","108312000","107915147","100"
"57689","107895011","107519228","100"
"57690","107965153","107584940","100"
"57691","104438192","104317996","100"
"57692","101152161","101102464","100"
"57693","104589336","104459505","100"
"57694","100285382","100276252","100"
"57695","110571385","110031908","100"
"57696","105018159","104800907","100"
"57697","113704412","113102297","100"
"57698","107136733","106791975","100"
"57699","102220022","102156120","100"
"57700","102100898","102037721","100"
"57701","111456180","110878320","100"
"57702","112826717","112245424","100"
"57703","101963104","101900472","100"
"57704","102468019","102401675","100"
"57705","112874877","112293515","100"
"57706","105522515","105272326","100"
"57707","101521481","101461806","100"
"57708","106633547","106310215","100"
"57709","101627593","101567326","100"
"57710","111545497","110966544","100"
"57711","102129533","102066198","100"
"57712","107056037","106713279","100"
"57713","106573635","106252237","100"
"57714","104437689","104317539","100"
"57715","104437866","104317678","100"
"57716","108104489","107719951","100"
"57717","101243678","101189349","100"
"57718","113732410","113128834","100"
"57719","113732315","113128739","100"
"57720","100071493","100067608","100"
"57721","112803389","112222155","100"
"57722","104438488","104318292","100"
"57723","104438614","104318418","100"
"57724","104438818","104318622","100"
"57725","104439303","104319050","100"
"57726","101111088","101062169","100"
"57727","108309844","107912991","100"
"57728","113191738","112606290","100"
"57729","108554799","108145171","100"
"57730","110571749","110032252","100"
"57731","113657317","113057011","100"
"57732","108182564","107795714","100"
"57733","109703097","109220878","100"
"57734","104840057","104652804","100"
"57735","104613707","104477759","100"
"57736","104439410","104319157","100"
"57737","104816948","104634746","100"
"57738","100774657","100736544","100"
"57739","100783476","100745797","100"
"57740","104439663","104319410","100"
"57741","110968780","110408209","100"
