"300869690","78506","p"
"300869690","143578","p"
"300881432","108007","a"
"300888200","9229","p"
"300888200","66001","p"
"300888200","132279","p"
"300888477","36013","a"
"300890351","130203","p"
"300892243","77089","p"
"300892243","132952","p"
"300901345","29172","a"
"300901345","29186","a"
"300901547","87895","a"
"300901650","90395","a"
"300902157","141840","a"
"300910542","49774","p"
"300926505","76398","p"
"300926505","76412","p"
"300927373","3754","p"
"300929815","10265","p"
"300929916","39628","p"
"300930765","94762","p"
"300931306","138873","p"
"300931395","139657","a"
"300933415","13810","a"
"300933415","64021","a"
"300933599","34073","p"
"300934738","21874","a"
"300935259","90004","a"
"300936523","141325","a"
"300941940","67779","p"
"300949548","94827","a"
"300950272","69386","a"
"300952653","94744","a"
"300952761","94925","a"
"300953213","69546","a"
"300957743","23527","a"
"300959244","47209","a"
"300960856","135784","p"
"300961195","23527","a"
"300961195","136630","a"
"300965894","1444","p"
"300966037","12504","a"
"300966167","143684","a"
"300966357","92630","a"
"300966960","137060","p"
"300966960","137061","p"
"300966960","137974","p"
"300971506","349","p"
"300971506","68052","p"
"300971506","68095","p"
"300974159","92730","p"
"300974697","125831","p"
"300979031","69643","a"
"300995365","50025","a"
"300998479","49443","ip"
"301000737","143712","a"
"301003277","95004","p"
"301003536","132654","p"
"301003822","38399","p"
"301003822","132654","p"
"301004245","139530","p"
"301005914","108534","a"
"301009206","12811","a"
"301012990","103961","a"
"301012990","104430","a"
"301013171","104430","a"
"301013681","117566","a"
"301013843","128066","a"
"301015185","72911","a"
"301015599","122711","a"
"301017600","67962","p"
"301025212","36414","a"
"301027832","3846","a"
"301033081","50276","a"
"301033371","2597","a"
"301033542","2598","a"
"301033708","50317","a"
"301033840","10665","a"
"301037885","94925","a"
"301038332","64722","a"
"301038332","69949","a"
"301043070","50478","a"
"301047301","50505","a"
"301047561","75801","a"
"301048202","13527","p"
"301048762","143642","p"
"301056897","109453","p"
"301056897","121504","p"
"301061100","49500","a"
"301062114","9124","p"
"301062114","92987","p"
"301062938","25825","p"
"301064913","9112","p"
"301066226","118028","a"
"301067415","92103","a"
"301083754","2526","p"
"301083754","10275","p"
"301084297","24422","p"
"301084900","51079","p"
"301085442","69669","p"
"301085442","110320","p"
"301089949","92264","a"
"301091728","113432","a"
"301091728","145840","a"
"301091995","139530","p"
"301092371","4852","p"
"301092371","10310","p"
"301092371","146134","p"
"301096123","49369","a"
"301096123","49370","a"
"301099707","83858","a"
"301101264","94752","p"
"301104026","96951","a"
"301104026","97748","a"
"301104026","123415","a"
"301104460","96951","a"
"301104889","105151","ip"
"301105042","138336","p"
